date,company_name,category,summary
2025-07-15,Aimtron Electronics Limited,Board meeting outcome,"Board approved issuance of up to 14,79,000 convertible warrants at Rs. 666 each to promoter and non-promoter investors, raising Rs. 98.50 crore. Extraordinary general meeting scheduled for 8 August 2025 to seek shareholder approval."
2025-07-15,Aimtron Electronics Limited,Board Resolution - Fund Raising,"Board approved issuance of up to 14,79,000 convertible warrants at Rs 666 each to promoter and non-promoter investors, raising Rs 98.50 crore for Green field Phase I and global expansion. EGM scheduled for 8 Aug 2025 to seek shareholder approval."
2025-07-15,Shree Steel Wire Ropes Ltd.,Board Meeting Outcome,"Board approved unaudited Q1 FY26 results, fixed 33rd AGM for 25 Aug 2025 with book closure 19-25 Aug 2025, accepted resignation of Anil L. Sajnani as MD effective 14 Jul 2025, appointed Ashish L. Sajnani as MD from 15 Jul 2025, named Niranjan Choudhary as CFO, re-appointed Chandak Agarwal & Co as statutory auditors for 3 years."
2025-07-15,Oberoi Realty Limited,Acquisition under CIRP,"Committee of Creditors approved the Rs 919 crore resolution plan submitted by the Oberoi Realty-led consortium for Hotel Horizon Private Limited; Letter of Intent issued on 14 Jul 2025. The consortium will subscribe Rs 1 crore of fresh shares to acquire 100% ownership of the ~7,500 sq m Juhu property."
2025-07-15,MSR India Limited,CIRP initiation notice,"Financial Creditors filed an application under Section 7 of IBC, 2016 before NCLT Hyderabad Bench to initiate Corporate Insolvency Resolution Process against MSR India Limited."
2025-07-15,Deepak Fertilisers And Petrochemicals Corporation Limited,Regulation 30 disclosure update,Deepak Fertilisers finalised a five-year agreement with Petronet LNG Limited for regasifying ~25 TBTUs of LNG annually at Dahej. The contract value is Rs 1200 crore with up to 20% additional outlay. Regasified gas will supply Taloja manufacturing facilities.
2025-07-15,Eros International Media Limited,Regulation 30 intimation – NCLT order,"Eros secured interim protection from NCLT Mumbai against Colour Yellow Productions, its 50%-owned JV. NCLT ordered 7-day notice to Eros before any Board/Shareholder meetings and barred payments to related parties of Colour Yellow’s directors pending petition CP/121(MB)2025."
2025-07-15,Sri Adhikari Brothers Television Network Ltd,Proceedings of Extra-Ordinary General Meeting,"An EGM was held on 14 July 2025 via video conferencing. The meeting considered three items: increase in authorised share capital from Rs 48.50 Cr to Rs 111 Cr, issue of 1.5 Cr equity shares on preferential basis, and issue of 6.8 Cr convertible warrants on preferential basis. Voting results will be declared within two working days."
2025-07-15,Sri Adhikari Brothers Television Network Limited,Proceedings of Extra-Ordinary General Meeting,"EGM held on 14 July 2025 via VC/OAVM. Agenda passed included: increase in authorised share capital from Rs 48.50 Crores to Rs 111.00 Crores, issue of 1,50,00,000 equity shares on preferential basis, and issue of 6,80,20,000 convertible warrants on preferential basis. Voting results to be declared within two working days."
2025-07-15,BLUE CLOUD SOFTECH SOLUTIONS LIMITED,Scrutinizer’s Report on EGM,"Extra-Ordinary General Meeting held on 10.07.2025 approved acquisition of M/s AIS Anywhere via equity-share swap through preferential allotment. All 33,413,940 valid votes cast were in favour, representing 100% of votes."
2025-07-15,Rail Vikas Nigam Limited,Receipt of Letter of Award,RVNL received LOA from Delhi Metro Rail Corporation for Contract D2C-02 covering 7.298 km viaduct and seven station platforms on Lajpat Nagar–Saket G Block corridor of Delhi MRTS Phase-IV. Project cost is Rs 447.42 crore inclusive of 18 % GST and execution period is 36 months.
2025-07-15,Nilkamal Limited,Business Acquisition,"Executed Deed of Assignment for Intellectual Properties and Design, Employment Agreement and Non-compete Agreement with Imedfurns Private Limited for purchase of its healthcare furniture vertical including IP rights, contracts, employees and goodwill for Rs. 3,00,00,000/- payable over 4 years."
2025-07-15,Shiva Mills Limited,Credit Rating,CARE Ratings downgraded Shiva Mills’ long-term bank facilities to CARE BBB (Stable) from CARE BBB+ (Negative) and short-term bank facilities to CARE A3+ from CARE A2. The action reflects net losses over the past three years.
2025-07-15,Tara Chand InfraLogistic Solutions Limited,New contract/order,Steel Authority of India Ltd has awarded Tara Chand InfraLogistic Solutions Limited a 4.5-year contract valued at INR 81.51 Crores (incl. taxes) to operate as Consignment and Handling Agent at SAIL’s Dankuni Warehouse in West Bengal. Work starts Q3 FY2025-26 and marks the company’s entry into Eastern India for warehousing & transportation.
2025-07-15,Namo eWaste Management Limited,Commencement of Operations,"Namo eWaste Management Limited has started operations at its new 12,240 MTPA lithium-ion battery recycling plant in Nashik, Maharashtra. The facility is part of the company’s plan to reach a total recycling capacity of 68,000 MTPA by Q3 FY26."
2025-07-15,RailTel Corporation of India Ltd.,major order secured,"Received work order from East Central Railway for Rs 2,64,06,97,427 (including tax) to provide Kavach (Train Collision Avoidance System) on 607 route-kilometres. Execution period: 14-JUL-25 to 14-JUL-27."
